HomeTeam,AwayTeam,Date,FT,HT
Crystal Palace,Nott'm Forest,2025-05-05,1-1,0-0
Wolves,Brighton,2025-05-10,0-2,0-1
Southampton,Man City,2025-05-10,0-0,0-0
Bournemouth,Aston Villa,2025-05-10,0-1,0-1
Fulham,Everton,2025-05-10,1-3,1-1
Ipswich,Brentford,2025-05-10,0-1,0-1
Newcastle,Chelsea,2025-05-11,2-0,1-0
Man United,West Ham,2025-05-11,0-2,0-1
Nott'm Forest,Leicester,2025-05-11,2-2,1-1
Tottenham,Crystal Palace,2025-05-11,0-2,0-1
Liverpool,Arsenal,2025-05-11,2-2,2-0
Aston Villa,Tottenham,2025-05-16,2-0,0-0
Chelsea,Man United,2025-05-16,1-0,0-0
Arsenal,Newcastle,2025-05-18,1-0,0-0
Leicester,Ipswich,2025-05-18,2-0,1-0
West Ham,Nott'm Forest,2025-05-18,1-2,0-1
Everton,Southampton,2025-05-18,2-0,2-0
Brentford,Fulham,2025-05-18,2-3,2-1
Brighton,Liverpool,2025-05-19,3-2,1-2
Crystal Palace,Wolves,2025-05-20,4-2,2-1
Man City,Bournemouth,2025-05-20,3-1,2-0
Newcastle,Everton,2025-05-25,0-1,0-0
Southampton,Arsenal,2025-05-25,1-2,0-1
Nott'm Forest,Chelsea,2025-05-25,0-1,0-0
Man United,Aston Villa,2025-05-25,2-0,0-0
Tottenham,Brighton,2025-05-25,1-4,1-0
Ipswich,West Ham,2025-05-25,1-3,0-1
Fulham,Man City,2025-05-25,0-2,0-1
Bournemouth,Leicester,2025-05-25,2-0,0-0
Liverpool,Crystal Palace,2025-05-25,1-1,0-1
Wolves,Brentford,2025-05-25,1-1,0-1
